doc_key,if_annotated,annotator,annot_final_act,annot_proposal
20050214(COD),1,Sasha,0,0
20060084(COD),1,Sasha,0,1
20060167(COD),1,Sasha,0,0
20070112(COD),1,Sasha,1,1
20070152(COD),1,Sasha,0,0
20070229(COD),1,Sasha,0,0
20070286(COD),1,Sasha,0,0
20080009(COD),1,Sasha,0,0
20080028(COD),1,Sasha,0,0
20080062(COD),1,Sasha,0,0
20080098(COD),1,Sasha,0,0
20080142(COD),1,Sasha,0,0
20080147(COD),1,Sasha,1,1
20080157(COD),1,Sasha,1,1
20080183(COD),1,Sasha,1,1
20080192(COD),1,Sasha,0,0
20080196(COD),1,Sasha,0,0
20080198(COD),1,Sasha,0,0
20080211(COD),1,Sasha,0,0
20080222(COD),1,Sasha,0,0
20080223(COD),1,Sasha,0,0
20080227(COD),1,Sasha,0,0
20080237(COD),1,Sasha,0,0
20080238(COD),1,Sasha,0,0
20080240(COD),1,Sasha,0,0
20080241(COD),1,Sasha,0,0
20080242(COD),1,Sasha,0,0
20080243(COD),1,Sasha,0,0
20080244(COD),1,Sasha,0,0
20080246(COD),1,Sasha,0,0
20080247(COD),1,Sasha,0,0
20080249(COD),1,Sasha,1,1
20080257(COD),1,Sasha,1,1
20080260(COD),1,Sasha,1,1
20080261(COD),1,Sasha,1,1
20080263(COD),1,Sasha,0,0
20090005(COD),1,Sasha,0,0
20090006(COD),1,Sasha,0,0
20090026(COD),1,Sasha,1,1
20090027(COD),1,Sasha,0,0
20090028(COD),1,Sasha,1,1
20090035(COD),1,Sasha,1,1
20090047(COD),1,Sasha,0,1
20090051(COD),1,Sasha,0,0
20090054(COD),1,Sasha,0,0
20090056(COD),1,Sasha,0,0
20090059(COD),1,Sasha,1,1
20090060A(COD),1,Sasha,1,1
20090060B(COD),1,Sasha,1,1
20090064(COD),1,Sasha,0,0
20090070(COD),1,Sasha,0,0
20090076(COD),1,Sasha,0,0
20090077(COD),1,Sasha,1,1
20090089(COD),1,Sasha,0,0
20090091(COD),1,Sasha,1,1
20090096(COD),1,Sasha,0,0
20090098(COD),1,Sasha,1,1
20090099(COD),1,Sasha,1,1
20090105(COD),1,Sasha,1,1
20090107(COD),1,Sasha,1,1
20090108(COD),1,Sasha,0,0
20090110(COD),1,Sasha,0,
20090116(COD),1,Sasha,0,0
20090127(COD),1,Sasha,1,1
20090128(COD),1,Sasha,0,0
20090129(COD),1,Sasha,0,0
20090131(COD),1,Sasha,0,0
20090132(COD),1,Sasha,1,1
20090138(COD),1,Sasha,1,1
20090140(COD),1,Sasha,0,0
20090142(COD),1,Sasha,0,0
20090143(COD),1,Sasha,0,0
20090144(COD),1,Sasha,0,0
20090146(COD),1,Sasha,0,0
20090153(COD),1,Sasha,1,1
20090157(COD),1,Sasha,0,0
20090161(COD),1,Sasha,1,1
20090162(COD),1,Sasha,0,0
20090163(COD),1,Sasha,1,1
20090164(COD),1,Sasha,0,0
20090165(COD),1,Sasha,0,0
20090169(COD),1,Sasha,0,0
20090170(COD),1,Sasha,0,0
20090173(COD),1,Sasha,0,0
20100004(COD),1,Sasha,0,0
20100032(COD),1,Sasha,0,0
20100036(COD),1,Sasha,1,1
20100039(COD),1,Sasha,1,1
20100041(COD),1,Sasha,1,1
20100044(COD),1,Sasha,0,0
20100051(COD),1,Sasha,0,0
20100054(COD),1,Sasha,1,1
20100056(COD),1,Sasha,0,0
20100059(COD),1,Sasha,1,1
20100063(COD),1,Sasha,0,0
20100064(COD),1,Sasha,0,0
20100065(COD),1,Sasha,0,0
20100073(COD),1,Sasha,0,0
20100074(COD),1,Sasha,0,0
20100080(COD),1,Sasha,1,1
20100095(COD),1,Sasha,0,0
20100101(COD),1,Sasha,0,0
20100110(COD),1,Sasha,0,0
20100133(COD),1,Sasha,0,0
20100137(COD),1,Sasha,1,1
20100140(COD),1,Sasha,1,1
20160023(COD),1,Stasya,0,0
20160027(COD),1,Stasya,0,0
20160039(COD),1,Stasya,0,0
20160050(COD),1,Stasya,0,0
20160084(COD),1,Stasya,1,1
20160145(COD),1,Stasya,0,0
20160148(COD),1,Stasya,0,0
20160149(COD),1,Stasya,0,0
20160152(COD),1,Stasya,1,0
20160159(COD),1,Stasya,0,0
20160182(COD),1,Stasya,0,0
20160187(COD),1,Stasya,0,0
20160197(COD),1,Stasya,0,0
20160198(COD),1,Stasya,0,0
20160218(COD),1,Stasya,0,0
20160229(COD),1,Stasya,1,1
20160238(COD),1,Stasya,0,0
20160254(COD),1,Stasya,0,0
20160256(COD),1,Stasya,0,0
20160257(COD),1,Stasya,0,0
20160259(COD),1,Stasya,0,0
20160278(COD),1,Stasya,1,1
20160279(COD),1,Stasya,0,0
20160280(COD),1,Stasya,1,1
20160281(COD),1,Stasya,0,0
20160284(COD),1,Stasya,0,0
20160286(COD),1,Stasya,0,0
20160304(COD),1,Stasya,0,0
20160308(COD),1,Stasya,0,0
20160325(COD),1,Stasya,0,0
20160345(COD),1,Stasya,0,0
20160355(COD),1,Stasya,1,1
20160359(COD),1,Stasya,1,1
20160368(COD),1,Stasya,0,0
20160377(COD),1,Stasya,0,0
20160378(COD),1,Stasya,0,0
20160380(COD),1,Stasya,1,0
20160384(COD),1,Stasya,1,1
20160389(COD),1,Stasya,0,0
20160400A(COD),1,Stasya,0,0
20160407(COD),1,Stasya,0,0
20160411(COD),1,Stasya,1,1
20160412(COD),1,Stasya,0,0
20160414(COD),1,Stasya,0,0
20170002(COD),1,Stasya,0,0
20170007(COD),1,Stasya,0,0
20170048(COD),1,Stasya,0,1
20170056(COD),1,Stasya,0,0
20170063(COD),1,Stasya,0,0
20170085(COD),1,Stasya,0,0
20170086(COD),1,Stasya,1,1
20170102(COD),1,Stasya,1,1
20170111(COD),1,Stasya,0,0
20170116(COD),1,Stasya,0,0
20170125(COD),1,Stasya,0,0
20170128(COD),1,Stasya,0,0
20170134(COD),1,Stasya,0,0
20170143(COD),1,Stasya,0,0
20170144(COD),1,Stasya,1,1
20170145(COD),1,Stasya,1,1
20170146(COD),1,Stasya,0,0
20170158(COD),1,Stasya,0,0
20170189(COD),1,Stasya,0,0
20170190(COD),1,Stasya,1,1
20170225(COD),1,Stasya,0,0
20170226(COD),1,Stasya,0,0
20170228(COD),1,Stasya,0,0
20170242(COD),1,Stasya,0,0
20170256(COD),1,Stasya,0,0
20170293(COD),1,Stasya,0,0
20170326(COD),1,Stasya,1,1
20170328(COD),1,Stasya,1,1
20170347(COD),1,Stasya,0,0
20170353(COD),1,Stasya,0,0
20170354(COD),1,Stasya,0,0
20170355(COD),1,Stasya,0,0
20180012(COD),1,Stasya,0,1
20180043(COD),1,Stasya,0,0
20180050(COD),1,Stasya,0,0
20180058(COD),1,Stasya,0,0
20180064(COD),1,Stasya,0,0
20180069(COD),1,Stasya,1,1
20180070(COD),1,Stasya,0,0
20180074(COD),1,Stasya,1,1
20180082(COD),1,Stasya,0,0
20180097(COD),1,Stasya,0,0
20180101(COD),1,Stasya,0,0
20180103(COD),1,Stasya,0,0
20180104(COD),1,Stasya,0,0
20180105(COD),1,Stasya,0,0
20180106(COD),1,Stasya,0,0
20180109(COD),1,Stasya,0,0
20180110(COD),1,Stasya,0,0
20180111(COD),1,Stasya,0,0
20180112(COD),1,Stasya,0,0
20180140(COD),1,Stasya,0,0
20180145(COD),1,Stasya,0,0
20180148(COD),1,Stasya,0,0
20180153(COD),1,Stasya,0,0
20180158(COD),1,Stasya,0,0
20180160(COD),1,Stasya,0,0
20180169(COD),1,Stasya,0,0
20180172(COD),1,Stasya,0,0
20180178(COD),1,Stasya,0,0
20180179(COD),1,Stasya,0,
20180187(COD),1,Stasya,0,0
20180189(COD),1,Stasya,0,0
20180220(COD),1,Stasya,0,0
20180263(COD),1,Stasya,0,0
20180298(COD),1,Stasya,1,1
20180330A(COD),1,Stasya,0,0
20180330B(COD),1,Stasya,0,0
20180385(COD),1,Stasya,1,1
20180432(COD),1,Stasya,0,0
20180433(COD),1,Stasya,0,0
20180434(COD),1,Stasya,0,0
20180436(COD),1,Stasya,0,0
20180900(COD),1,Stasya,1,
20190019(COD),1,Stasya,0,0
20190030(COD),1,Stasya,0,0
20190040(COD),1,Stasya,0,0
20190108(COD),1,Stasya,0,0
20190180(COD),1,Stasya,1,1
20190192(COD),1,Stasya,0,0
20200065(COD),1,Stasya,0,0
20200067(COD),1,Stasya,0,0
20200068(COD),1,Stasya,0,0
20200099(COD),1,Stasya,0,0
20200128(COD),1,Stasya,0,0
20100147(COD),1,other,1,1
20100150(COD),1,other,1,1
20100160(COD),1,other,1,1
20100162(COD),1,other,0,0
20100171(COD),1,other,1,1
20100175(COD),1,other,1,1
20100183(COD),1,other,1,1
20100192(COD),1,other,1,1
20100195(COD),1,other,1,1
20100197(COD),1,other,1,1
20100204(COD),1,other,0,0
20100207(COD),1,other,0,0
20100208(COD),1,other,1,1
20100209(COD),1,other,0,0
20100210(COD),1,other,0,0
20110117(COD),1,other,0,0
20110129(COD),1,other,0,0
20110130(COD),1,other,0,0
20110131(COD),1,other,0,0
20110135(COD),1,other,0,0
20110136(COD),1,other,0,0
20110137(COD),1,other,0,0
20110138(COD),1,other,1,1
20110144(COD),1,other,1,1
20110150(COD),1,other,1,1
20110152(COD),1,other,0,0
20110153(COD),1,other,0,0
20110154(COD),1,other,0,0
20110156(COD),1,other,0,0
20110169(COD),1,other,1,1
20110172(COD),1,other,1,0
20110187(COD),1,other,0,0
20110190(COD),1,other,1,1
20110193(COD),1,other,1,1
20110194(COD),1,other,1,1
20120029(COD),1,other,1,1
20120036(COD),1,other,0,0
20120039(COD),1,other,0,0
20120040(COD),1,other,1,1
20120042(COD),1,other,0,0
20120049(COD),1,other,1,1
20120054(COD),1,other,0,0
20120055(COD),1,other,1,1
20120061(COD),1,other,1,1
20120175(COD),1,other,0,1
20120179(COD),1,other,0,0
20120180(COD),1,other,0,0
20120184(COD),1,other,0,0
20120185(COD),1,other,1,1
20120186(COD),1,other,0,0
20130023(COD),1,other,0,0
20130024(COD),1,other,0,0
20130025(COD),1,other,0,0
20130027(COD),1,other,0,0
20130028(COD),1,other,1,1
20130063(COD),1,other,0,0
20130074(COD),1,other,0,0
20130080(COD),1,other,0,0
20130081(COD),1,other,0,1
20130082(COD),1,other,0,0
20140124(COD),1,other,0,0
20140132(COD),1,other,0,0
20140136(COD),1,other,0,0
20140158(COD),1,other,0,0
20140159(COD),1,other,0,0
20140160(COD),1,other,0,0
20140163(COD),1,other,0,0
20140164(COD),1,other,0,0
20140165(COD),1,other,0,0
20140166(COD),1,other,0,0
20150263(COD),1,other,1,1
20150268(COD),1,other,0,0
20150269(COD),1,other,1,1
20150272(COD),1,other,1,1
20150274(COD),1,other,1,1
20150275(COD),1,other,1,1
20150276(COD),1,other,1,1
20160105(COD),1,other,1,1
20160106(COD),1,other,1,1
20160110(COD),1,other,1,1
20160125(COD),1,other,1,1
20160142(COD),1,other,1,1
20160261(COD),1,other,1,1
20160264(COD),1,other,1,0
20160265(COD),1,other,1,1
20160274(COD),1,other,1,1
20160275(COD),1,other,1,1
20160276(COD),1,other,1,1
20160282A(COD),1,other,1,1
20160282B(COD),1,other,1,1
20170013(COD),1,other,1,1
20170015(COD),1,other,1,1
20170017(COD),1,other,1,1
20170060(COD),1,other,1,1
20170163(COD),1,other,1,1
20170219(COD),1,other,1,1
20170220(COD),1,other,0,0
20170224(COD),1,other,0,0
20180076(COD),1,other,1,1
20180081(COD),1,other,1,1
20100212(COD),0,,1,0
20100214(COD),0,,0,0
20100215(COD),0,,0,0
20100232(COD),0,,1,1
20100242(COD),0,,0,0
20100246(COD),0,,0,0
20100250(COD),0,,0,0
20100251(COD),0,,0,0
20100252(COD),0,,0,0
20100253(COD),0,,0,1
20100254(COD),0,,1,1
20100255(COD),0,,1,1
20100256(COD),0,,0,0
20100257(COD),0,,0,0
20100258(COD),0,,0,0
20100259(COD),0,,0,0
20100262(COD),0,,0,0
20100271(COD),0,,1,1
20100272(COD),0,,0,0
20100273(COD),0,,0,0
20100274(COD),0,,0,0
20100275(COD),0,,0,1
20100278(COD),0,,0,0
20100279(COD),0,,0,0
20100280(COD),0,,1,1
20100281(COD),0,,0,0
20100282(COD),0,,0,0
20100289(COD),0,,0,0
20100298(COD),0,,1,1
20100301(COD),0,,1,1
20100303(COD),0,,1,1
20100318(COD),0,,1,1
20100325(COD),0,,0,0
20100326(COD),0,,1,0
20100353(COD),0,,0,0
20100362(COD),0,,1,1
20100363(COD),0,,0,0
20100367(COD),0,,0,0
20100368(COD),0,,0,0
20100369(COD),0,,0,0
20100370(COD),0,,0,0
20100372(COD),0,,1,1
20100373(COD),0,,1,1
20100374(COD),0,,0,0
20100377(COD),0,,0,0
20100380(COD),0,,1,1
20100383(COD),0,,0,1
20100390(COD),0,,0,0
20100395(COD),0,,,1
20100801(COD),0,,0,1
20100802(COD),0,,0,1
20100817(COD),0,,0,1
20110001(COD),0,,1,0
20110002(COD),0,,0,0
20110006(COD),0,,1,1
20110011(COD),0,,0,0
20110014(COD),0,,0,0
20110023(COD),0,,0,0
20110038(COD),0,,1,1
20110039(COD),0,,0,0
20110051(COD),0,,1,1
20110062(COD),0,,0,0
20110080(COD),0,,0,1
20110093(COD),0,,0,0
20110105(COD),0,,1,1
20110195(COD),0,,0,0
20110196(COD),0,,0,1
20110197(COD),0,,0,0
20110199(COD),0,,1,1
20110202(COD),0,,0,0
20110203(COD),0,,0,1
20110204(COD),0,,0,0
20110209(COD),0,,0,0
20110210(COD),0,,1,1
20110211(COD),0,,0,0
20110212(COD),0,,1,0
20110223(COD),0,,0,0
20110226(COD),0,,0,0
20110228(COD),0,,0,0
20110229(COD),0,,1,1
20110231(COD),0,,0,0
20110238(COD),0,,1,0
20110239(COD),0,,1,1
20110242(COD),0,,1,0
20110243(COD),0,,0,0
20110260(COD),0,,1,1
20110262(COD),0,,0,0
20110263(COD),0,,0,0
20110268(COD),0,,0,0
20110269(COD),0,,0,0
20110270(COD),0,,0,0
20110272(COD),0,,1,1
20110273(COD),0,,0,0
